location,date,tempC,growth,plotid,block,treatment,transect,damaged,total
PA,6/29/2022,18,v5,101,1,1,1,7,20
PA,6/29/2022,18,v5,101,1,1,2,10,16
PA,6/29/2022,18,v5,101,1,1,3,9,19
PA,6/29/2022,18,v5,102,1,3,1,3,17
PA,6/29/2022,18,v5,102,1,3,2,12,18
PA,6/29/2022,18,v5,102,1,3,3,9,17
PA,6/29/2022,18,v5,103,1,2,1,1,17
PA,6/29/2022,18,v5,103,1,2,2,3,18
PA,6/29/2022,18,v5,103,1,2,3,3,18
PA,6/29/2022,18,v5,104,1,4,1,9,18
PA,6/29/2022,18,v5,104,1,4,2,2,19
PA,6/29/2022,18,v5,104,1,4,3,2,18
PA,6/29/2022,18,v5,201,2,3,1,2,20
PA,6/29/2022,18,v5,201,2,3,2,6,20
PA,6/29/2022,18,v5,201,2,3,3,15,18
PA,6/29/2022,18,v5,202,2,4,1,1,17
PA,6/29/2022,18,v5,202,2,4,2,4,20
PA,6/29/2022,18,v5,202,2,4,3,3,16
PA,6/29/2022,18,v5,203,2,1,1,4,20
PA,6/29/2022,18,v5,203,2,1,2,1,20
PA,6/29/2022,18,v5,203,2,1,3,5,17
PA,6/29/2022,18,v5,204,2,2,1,0,19
PA,6/29/2022,18,v5,204,2,2,2,0,16
PA,6/29/2022,18,v5,204,2,2,3,3,17
PA,6/29/2022,18,v5,301,3,4,1,5,19
PA,6/29/2022,18,v5,301,3,4,2,6,19
PA,6/29/2022,18,v5,301,3,4,3,2,17
PA,6/29/2022,18,v5,302,3,2,1,0,19
PA,6/29/2022,18,v5,302,3,2,2,1,18
PA,6/29/2022,18,v5,302,3,2,3,7,17
PA,6/29/2022,18,v5,303,3,3,1,1,17
PA,6/29/2022,18,v5,303,3,3,2,3,19
PA,6/29/2022,18,v5,303,3,3,3,11,19
PA,6/29/2022,18,v5,304,3,1,1,0,19
PA,6/29/2022,18,v5,304,3,1,2,4,18
PA,6/29/2022,18,v5,304,3,1,3,4,19
PA,6/29/2022,18,v5,401,4,1,1,7,20
PA,6/29/2022,18,v5,401,4,1,2,0,16
PA,6/29/2022,18,v5,401,4,1,3,1,20
PA,6/29/2022,18,v5,402,4,3,1,16,16
PA,6/29/2022,18,v5,402,4,3,2,18,18
PA,6/29/2022,18,v5,402,4,3,3,16,16
PA,6/29/2022,18,v5,403,4,2,1,1,19
PA,6/29/2022,18,v5,403,4,2,2,0,18
PA,6/29/2022,18,v5,403,4,2,3,4,20
PA,6/29/2022,18,v5,404,4,4,1,0,16
PA,6/29/2022,18,v5,404,4,4,2,4,18
PA,6/29/2022,18,v5,404,4,4,3,5,19
PA,6/29/2022,18,v5,501,5,2,1,19,19
PA,6/29/2022,18,v5,501,5,2,2,17,19
PA,6/29/2022,18,v5,501,5,2,3,16,16
PA,6/29/2022,18,v5,502,5,3,1,17,17
PA,6/29/2022,18,v5,502,5,3,2,18,18
PA,6/29/2022,18,v5,502,5,3,3,19,19
PA,6/29/2022,18,v5,503,5,1,1,17,17
PA,6/29/2022,18,v5,503,5,1,2,11,19
PA,6/29/2022,18,v5,503,5,1,3,20,20
PA,6/29/2022,18,v5,504,5,4,1,19,20
PA,6/29/2022,18,v5,504,5,4,2,15,16
PA,6/29/2022,18,v5,504,5,4,3,17,17
PA,6/21/2022,21.6,v3,101,1,1,1,12,16
PA,6/21/2022,21.6,v3,101,1,1,2,10,18
PA,6/21/2022,21.6,v3,101,1,1,3,14,16
PA,6/21/2022,21.6,v3,102,1,3,1,14,15
PA,6/21/2022,21.6,v3,102,1,3,2,19,19
PA,6/21/2022,21.6,v3,102,1,3,3,13,17
PA,6/21/2022,21.6,v3,103,1,2,1,18,18
PA,6/21/2022,21.6,v3,103,1,2,2,12,17
PA,6/21/2022,21.6,v3,103,1,2,3,18,18
PA,6/21/2022,21.6,v3,104,1,4,1,17,17
PA,6/21/2022,21.6,v3,104,1,4,2,16,18
PA,6/21/2022,21.6,v3,104,1,4,3,12,13
PA,6/21/2022,21.6,v3,201,2,3,1,15,18
PA,6/21/2022,21.6,v3,201,2,3,2,18,18
PA,6/21/2022,21.6,v3,201,2,3,3,18,18
PA,6/21/2022,21.6,v3,202,2,4,1,16,17
PA,6/21/2022,21.6,v3,202,2,4,2,19,19
PA,6/21/2022,21.6,v3,202,2,4,3,17,17
PA,6/21/2022,21.6,v3,203,2,1,1,18,18
PA,6/21/2022,21.6,v3,203,2,1,2,10,18
PA,6/21/2022,21.6,v3,203,2,1,3,12,18
PA,6/21/2022,21.6,v3,204,2,2,1,16,16
PA,6/21/2022,21.6,v3,204,2,2,2,18,18
PA,6/21/2022,21.6,v3,204,2,2,3,18,18
PA,6/21/2022,21.6,v3,301,3,4,1,15,18
PA,6/21/2022,21.6,v3,301,3,4,2,16,20
PA,6/21/2022,21.6,v3,301,3,4,3,19,19
PA,6/21/2022,21.6,v3,302,3,2,1,13,19
PA,6/21/2022,21.6,v3,302,3,2,2,17,17
PA,6/21/2022,21.6,v3,302,3,2,3,9,17
PA,6/21/2022,21.6,v3,303,3,3,1,20,20
PA,6/21/2022,21.6,v3,303,3,3,2,17,17
PA,6/21/2022,21.6,v3,303,3,3,3,18,18
PA,6/21/2022,21.6,v3,304,3,1,1,11,19
PA,6/21/2022,21.6,v3,304,3,1,2,16,19
PA,6/21/2022,21.6,v3,304,3,1,3,10,18
PA,6/21/2022,21.6,v3,401,4,1,1,13,18
PA,6/21/2022,21.6,v3,401,4,1,2,11,17
PA,6/21/2022,21.6,v3,401,4,1,3,9,18
PA,6/21/2022,21.6,v3,402,4,3,1,14,18
PA,6/21/2022,21.6,v3,402,4,3,2,11,17
PA,6/21/2022,21.6,v3,402,4,3,3,16,18
PA,6/21/2022,21.6,v3,403,4,2,1,18,18
PA,6/21/2022,21.6,v3,403,4,2,2,19,19
PA,6/21/2022,21.6,v3,403,4,2,3,16,17
PA,6/21/2022,21.6,v3,404,4,4,1,16,18
PA,6/21/2022,21.6,v3,404,4,4,2,16,16
PA,6/21/2022,21.6,v3,404,4,4,3,17,18
PA,6/21/2022,21.6,v3,501,5,2,1,19,19
PA,6/21/2022,21.6,v3,501,5,2,2,16,17
PA,6/21/2022,21.6,v3,501,5,2,3,19,19
PA,6/21/2022,21.6,v3,502,5,3,1,16,17
PA,6/21/2022,21.6,v3,502,5,3,2,15,17
PA,6/21/2022,21.6,v3,502,5,3,3,20,20
PA,6/21/2022,21.6,v3,503,5,1,1,13,18
PA,6/21/2022,21.6,v3,503,5,1,2,13,17
PA,6/21/2022,21.6,v3,503,5,1,3,18,18
PA,6/21/2022,21.6,v3,504,5,4,1,18,19
PA,6/21/2022,21.6,v3,504,5,4,2,12,17
PA,6/21/2022,21.6,v3,504,5,4,3,16,16
PA,6/16/2021,15.53,V3,101,1,1,1,20,12
PA,6/16/2021,15.53,V3,101,1,1,2,20,12
PA,6/16/2021,15.53,V3,101,1,1,3,19,12
PA,6/16/2021,15.53,V3,101,1,1,4,19,12
PA,6/16/2021,15.53,V3,101,1,1,5,19,5
PA,6/16/2021,15.53,V3,102,1,3,1,17,13
PA,6/16/2021,15.53,V3,102,1,3,2,16,12
PA,6/16/2021,15.53,V3,102,1,3,3,19,11
PA,6/16/2021,15.53,V3,102,1,3,4,20,9
PA,6/16/2021,15.53,V3,102,1,3,5,18,15
PA,6/16/2021,15.53,V3,103,1,2,1,19,13
PA,6/16/2021,15.53,V3,103,1,2,2,16,9
PA,6/16/2021,15.53,V3,103,1,2,3,18,12
PA,6/16/2021,15.53,V3,103,1,2,4,18,16
PA,6/16/2021,15.53,V3,103,1,2,5,18,12
PA,6/16/2021,15.53,V3,104,1,4,1,18,15
PA,6/16/2021,15.53,V3,104,1,4,2,19,12
PA,6/16/2021,15.53,V3,104,1,4,3,18,12
PA,6/16/2021,15.53,V3,104,1,4,4,16,11
PA,6/16/2021,15.53,V3,104,1,4,5,19,18
PA,6/16/2021,15.53,V3,201,2,3,1,19,10
PA,6/16/2021,15.53,V3,201,2,3,2,15,13
PA,6/16/2021,15.53,V3,201,2,3,3,18,13
PA,6/16/2021,15.53,V3,201,2,3,4,20,13
PA,6/16/2021,15.53,V3,201,2,3,5,18,18
PA,6/16/2021,15.53,V3,202,2,4,1,16,13
PA,6/16/2021,15.53,V3,202,2,4,2,17,12
PA,6/16/2021,15.53,V3,202,2,4,3,15,11
PA,6/16/2021,15.53,V3,202,2,4,4,18,13
PA,6/16/2021,15.53,V3,202,2,4,5,19,9
PA,6/16/2021,15.53,V3,203,2,1,1,19,11
PA,6/16/2021,15.53,V3,203,2,1,2,20,17
PA,6/16/2021,15.53,V3,203,2,1,3,20,14
PA,6/16/2021,15.53,V3,203,2,1,4,20,16
PA,6/16/2021,15.53,V3,203,2,1,5,19,8
PA,6/16/2021,15.53,V3,204,2,2,1,19,16
PA,6/16/2021,15.53,V3,204,2,2,2,19,15
PA,6/16/2021,15.53,V3,204,2,2,3,18,11
PA,6/16/2021,15.53,V3,204,2,2,4,19,16
PA,6/16/2021,15.53,V3,204,2,2,5,18,15
PA,6/16/2021,15.53,V3,301,3,4,1,18,18
PA,6/16/2021,15.53,V3,301,3,4,2,18,18
PA,6/16/2021,15.53,V3,301,3,4,3,17,11
PA,6/16/2021,15.53,V3,301,3,4,4,17,16
PA,6/16/2021,15.53,V3,301,3,4,5,18,17
PA,6/16/2021,15.53,V3,302,3,2,1,19,19
PA,6/16/2021,15.53,V3,302,3,2,2,20,20
PA,6/16/2021,15.53,V3,302,3,2,3,19,18
PA,6/16/2021,15.53,V3,302,3,2,4,17,16
PA,6/16/2021,15.53,V3,302,3,2,5,18,15
PA,6/16/2021,15.53,V3,303,3,3,1,18,18
PA,6/16/2021,15.53,V3,303,3,3,2,18,16
PA,6/16/2021,15.53,V3,303,3,3,3,17,15
PA,6/16/2021,15.53,V3,303,3,3,4,16,16
PA,6/16/2021,15.53,V3,303,3,3,5,19,15
PA,6/16/2021,15.53,V3,304,3,1,1,19,15
PA,6/16/2021,15.53,V3,304,3,1,2,18,15
PA,6/16/2021,15.53,V3,304,3,1,3,19,15
PA,6/16/2021,15.53,V3,304,3,1,4,20,13
PA,6/16/2021,15.53,V3,304,3,1,5,20,14
PA,6/16/2021,15.53,V3,401,4,1,1,17,13
PA,6/16/2021,15.53,V3,401,4,1,2,18,16
PA,6/16/2021,15.53,V3,401,4,1,3,17,11
PA,6/16/2021,15.53,V3,401,4,1,4,19,17
PA,6/16/2021,15.53,V3,401,4,1,5,20,17
PA,6/16/2021,15.53,V3,402,4,3,1,13,11
PA,6/16/2021,15.53,V3,402,4,3,2,18,17
PA,6/16/2021,15.53,V3,402,4,3,3,16,16
PA,6/16/2021,15.53,V3,402,4,3,4,19,12
PA,6/16/2021,15.53,V3,402,4,3,5,15,15
PA,6/16/2021,15.53,V3,403,4,2,1,19,17
PA,6/16/2021,15.53,V3,403,4,2,2,18,17
PA,6/16/2021,15.53,V3,403,4,2,3,18,14
PA,6/16/2021,15.53,V3,403,4,2,4,18,18
PA,6/16/2021,15.53,V3,403,4,2,5,18,11
PA,6/16/2021,15.53,V3,404,4,4,1,18,7
PA,6/16/2021,15.53,V3,404,4,4,2,17,14
PA,6/16/2021,15.53,V3,404,4,4,3,19,11
PA,6/16/2021,15.53,V3,404,4,4,4,17,13
PA,6/16/2021,15.53,V3,404,4,4,5,14,6
PA,6/16/2021,15.53,V3,501,5,2,1,20,15
PA,6/16/2021,15.53,V3,501,5,2,2,18,17
PA,6/16/2021,15.53,V3,501,5,2,3,18,18
PA,6/16/2021,15.53,V3,501,5,2,4,18,15
PA,6/16/2021,15.53,V3,501,5,2,5,19,19
PA,6/16/2021,15.53,V3,502,5,3,1,18,15
PA,6/16/2021,15.53,V3,502,5,3,2,17,13
PA,6/16/2021,15.53,V3,502,5,3,3,14,13
PA,6/16/2021,15.53,V3,502,5,3,4,14,13
PA,6/16/2021,15.53,V3,502,5,3,5,17,15
PA,6/16/2021,15.53,V3,503,5,1,1,18,11
PA,6/16/2021,15.53,V3,503,5,1,2,18,11
PA,6/16/2021,15.53,V3,503,5,1,3,19,19
PA,6/16/2021,15.53,V3,503,5,1,4,19,18
PA,6/16/2021,15.53,V3,503,5,1,5,18,15
PA,6/16/2021,15.53,V3,504,5,4,1,17,9
PA,6/16/2021,15.53,V3,504,5,4,2,20,11
PA,6/16/2021,15.53,V3,504,5,4,3,18,7
PA,6/16/2021,15.53,V3,504,5,4,4,18,16
PA,6/16/2021,15.53,V3,504,5,4,5,18,14
PA,6/23/2021,11.11,V5,101,1,1,1,20,8
PA,6/23/2021,11.11,V5,101,1,1,2,19,18
PA,6/23/2021,11.11,V5,101,1,1,3,14,10
PA,6/23/2021,11.11,V5,101,1,1,4,19,9
PA,6/23/2021,11.11,V5,101,1,1,5,20,17
PA,6/23/2021,11.11,V5,102,1,3,1,18,13
PA,6/23/2021,11.11,V5,102,1,3,2,20,11
PA,6/23/2021,11.11,V5,102,1,3,3,18,14
PA,6/23/2021,11.11,V5,102,1,3,4,18,15
PA,6/23/2021,11.11,V5,102,1,3,5,18,6
PA,6/23/2021,11.11,V5,103,1,2,1,20,11
PA,6/23/2021,11.11,V5,103,1,2,2,19,14
PA,6/23/2021,11.11,V5,103,1,2,3,17,15
PA,6/23/2021,11.11,V5,103,1,2,4,18,11
PA,6/23/2021,11.11,V5,103,1,2,5,19,10
PA,6/23/2021,11.11,V5,104,1,4,1,19,10
PA,6/23/2021,11.11,V5,104,1,4,2,19,11
PA,6/23/2021,11.11,V5,104,1,4,3,18,15
PA,6/23/2021,11.11,V5,104,1,4,4,17,13
PA,6/23/2021,11.11,V5,104,1,4,5,18,16
PA,6/23/2021,11.11,V5,201,2,3,1,19,14
PA,6/23/2021,11.11,V5,201,2,3,2,15,13
PA,6/23/2021,11.11,V5,201,2,3,3,19,13
PA,6/23/2021,11.11,V5,201,2,3,4,19,19
PA,6/23/2021,11.11,V5,201,2,3,5,19,16
PA,6/23/2021,11.11,V5,202,2,4,1,20,18
PA,6/23/2021,11.11,V5,202,2,4,2,17,4
PA,6/23/2021,11.11,V5,202,2,4,3,19,12
PA,6/23/2021,11.11,V5,202,2,4,4,19,12
PA,6/23/2021,11.11,V5,202,2,4,5,18,15
PA,6/23/2021,11.11,V5,203,2,1,1,18,14
PA,6/23/2021,11.11,V5,203,2,1,2,18,12
PA,6/23/2021,11.11,V5,203,2,1,3,20,16
PA,6/23/2021,11.11,V5,203,2,1,4,18,16
PA,6/23/2021,11.11,V5,203,2,1,5,20,14
PA,6/23/2021,11.11,V5,204,2,2,1,19,16
PA,6/23/2021,11.11,V5,204,2,2,2,20,19
PA,6/23/2021,11.11,V5,204,2,2,3,18,15
PA,6/23/2021,11.11,V5,204,2,2,4,18,16
PA,6/23/2021,11.11,V5,204,2,2,5,17,17
PA,6/23/2021,11.11,V5,301,3,4,1,19,19
PA,6/23/2021,11.11,V5,301,3,4,2,20,19
PA,6/23/2021,11.11,V5,301,3,4,3,19,17
PA,6/23/2021,11.11,V5,301,3,4,4,20,19
PA,6/23/2021,11.11,V5,301,3,4,5,16,15
PA,6/23/2021,11.11,V5,302,3,2,1,19,15
PA,6/23/2021,11.11,V5,302,3,2,2,19,18
PA,6/23/2021,11.11,V5,302,3,2,3,19,18
PA,6/23/2021,11.11,V5,302,3,2,4,18,18
PA,6/23/2021,11.11,V5,302,3,2,5,19,18
PA,6/23/2021,11.11,V5,303,3,3,1,17,16
PA,6/23/2021,11.11,V5,303,3,3,2,19,16
PA,6/23/2021,11.11,V5,303,3,3,3,17,16
PA,6/23/2021,11.11,V5,303,3,3,4,18,14
PA,6/23/2021,11.11,V5,303,3,3,5,18,17
PA,6/23/2021,11.11,V5,304,3,1,1,18,15
PA,6/23/2021,11.11,V5,304,3,1,2,19,15
PA,6/23/2021,11.11,V5,304,3,1,3,20,12
PA,6/23/2021,11.11,V5,304,3,1,4,19,15
PA,6/23/2021,11.11,V5,304,3,1,5,20,14
PA,6/23/2021,11.11,V5,401,4,1,1,19,17
PA,6/23/2021,11.11,V5,401,4,1,2,18,15
PA,6/23/2021,11.11,V5,401,4,1,3,19,18
PA,6/23/2021,11.11,V5,401,4,1,4,19,19
PA,6/23/2021,11.11,V5,401,4,1,5,19,19
PA,6/23/2021,11.11,V5,402,4,3,1,16,16
PA,6/23/2021,11.11,V5,402,4,3,2,14,14
PA,6/23/2021,11.11,V5,402,4,3,3,16,16
PA,6/23/2021,11.11,V5,402,4,3,4,15,10
PA,6/23/2021,11.11,V5,402,4,3,5,19,17
PA,6/23/2021,11.11,V5,403,4,2,1,18,12
PA,6/23/2021,11.11,V5,403,4,2,2,18,16
PA,6/23/2021,11.11,V5,403,4,2,3,18,17
PA,6/23/2021,11.11,V5,403,4,2,4,18,17
PA,6/23/2021,11.11,V5,403,4,2,5,18,16
PA,6/23/2021,11.11,V5,404,4,4,1,19,13
PA,6/23/2021,11.11,V5,404,4,4,2,18,12
PA,6/23/2021,11.11,V5,404,4,4,3,17,12
PA,6/23/2021,11.11,V5,404,4,4,4,17,14
PA,6/23/2021,11.11,V5,404,4,4,5,19,15
PA,6/23/2021,11.11,V5,501,5,2,1,17,14
PA,6/23/2021,11.11,V5,501,5,2,2,18,18
PA,6/23/2021,11.11,V5,501,5,2,3,19,16
PA,6/23/2021,11.11,V5,501,5,2,4,20,17
PA,6/23/2021,11.11,V5,501,5,2,5,18,18
PA,6/23/2021,11.11,V5,502,5,3,1,16,14
PA,6/23/2021,11.11,V5,502,5,3,2,18,17
PA,6/23/2021,11.11,V5,502,5,3,3,13,12
PA,6/23/2021,11.11,V5,502,5,3,4,17,17
PA,6/23/2021,11.11,V5,502,5,3,5,13,12
PA,6/23/2021,11.11,V5,503,5,1,1,17,7
PA,6/23/2021,11.11,V5,503,5,1,2,19,10
PA,6/23/2021,11.11,V5,503,5,1,3,17,15
PA,6/23/2021,11.11,V5,503,5,1,4,19,11
PA,6/23/2021,11.11,V5,503,5,1,5,18,9
PA,6/23/2021,11.11,V5,504,5,4,1,17,15
PA,6/23/2021,11.11,V5,504,5,4,2,18,12
PA,6/23/2021,11.11,V5,504,5,4,3,17,8
PA,6/23/2021,11.11,V5,504,5,4,4,18,16
PA,6/23/2021,11.11,V5,504,5,4,5,17,12
PA,7/5/2023,24,V5,101,1,,1,2,5
PA,7/5/2023,24,V5,101,1,,2,4,6
PA,7/5/2023,24,V5,101,1,,3,2,10
PA,7/5/2023,24,V5,102,1,,1,6,8
PA,7/5/2023,24,V5,102,1,,2,3,5
PA,7/5/2023,24,V5,102,1,,3,4,6
PA,7/5/2023,24,V5,103,1,,1,2,4
PA,7/5/2023,24,V5,103,1,,2,1,8
PA,7/5/2023,24,V5,103,1,,3,2,9
PA,7/5/2023,24,V5,104,1,,1,1,10
PA,7/5/2023,24,V5,104,1,,2,0,5
PA,7/5/2023,24,V5,104,1,,3,5,6
PA,7/5/2023,24,V5,201,2,,1,2,8
PA,7/5/2023,24,V5,201,2,,2,8,8
PA,7/5/2023,24,V5,201,2,,3,2,4
PA,7/5/2023,24,V5,202,2,,1,8,11
PA,7/5/2023,24,V5,202,2,,2,5,6
PA,7/5/2023,24,V5,202,2,,3,3,7
PA,7/5/2023,24,V5,203,2,,1,8,10
PA,7/5/2023,24,V5,203,2,,2,3,5
PA,7/5/2023,24,V5,203,2,,3,6,6
PA,7/5/2023,24,V5,204,2,,1,1,1
PA,7/5/2023,24,V5,204,2,,2,2,8
PA,7/5/2023,24,V5,204,2,,3,4,6
PA,7/5/2023,24,V5,301,3,,1,1,4
PA,7/5/2023,24,V5,301,3,,2,2,6
PA,7/5/2023,24,V5,301,3,,3,6,6
PA,7/5/2023,24,V5,302,3,,1,3,6
PA,7/5/2023,24,V5,302,3,,2,1,3
PA,7/5/2023,24,V5,302,3,,3,4,9
PA,7/5/2023,24,V5,303,3,,1,5,10
PA,7/5/2023,24,V5,303,3,,2,9,10
PA,7/5/2023,24,V5,303,3,,3,2,10
PA,7/5/2023,24,V5,304,3,,1,9,9
PA,7/5/2023,24,V5,304,3,,2,7,7
PA,7/5/2023,24,V5,304,3,,3,6,9
PA,7/5/2023,24,V5,401,4,,1,11,11
PA,7/5/2023,24,V5,401,4,,2,3,3
PA,7/5/2023,24,V5,401,4,,3,6,13
PA,7/5/2023,24,V5,402,4,,1,8,8
PA,7/5/2023,24,V5,402,4,,2,9,9
PA,7/5/2023,24,V5,402,4,,3,2,3
PA,7/5/2023,24,V5,403,4,,1,7,8
PA,7/5/2023,24,V5,403,4,,2,3,3
PA,7/5/2023,24,V5,403,4,,3,3,3
PA,7/5/2023,24,V5,404,4,,1,4,12
PA,7/5/2023,24,V5,404,4,,2,4,8
PA,7/5/2023,24,V5,404,4,,3,4,6
PA,7/5/2023,24,V5,501,5,,1,3,7
PA,7/5/2023,24,V5,501,5,,2,9,9
PA,7/5/2023,24,V5,501,5,,3,10,11
PA,7/5/2023,24,V5,502,5,,1,11,12
PA,7/5/2023,24,V5,502,5,,2,8,9
PA,7/5/2023,24,V5,502,5,,3,9,9
PA,7/5/2023,24,V5,503,5,,1,7,7
PA,7/5/2023,24,V5,503,5,,2,5,5
PA,7/5/2023,24,V5,503,5,,3,10,10
PA,7/5/2023,24,V5,504,5,,1,4,9
PA,7/5/2023,24,V5,504,5,,2,2,10
PA,7/5/2023,24,V5,504,5,,3,4,7
PA,6/20/2023,12,V3,101,1,,1,4,4
PA,6/20/2023,12,V3,101,1,,2,3,7
PA,6/20/2023,12,V3,101,1,,3,6,7
PA,6/20/2023,12,V3,102,1,,1,9,10
PA,6/20/2023,12,V3,102,1,,2,3,9
PA,6/20/2023,12,V3,102,1,,3,7,9
PA,6/20/2023,12,V3,103,1,,1,9,11
PA,6/20/2023,12,V3,103,1,,2,2,4
PA,6/20/2023,12,V3,103,1,,3,3,7
PA,6/20/2023,12,V3,104,1,,1,5,8
PA,6/20/2023,12,V3,104,1,,2,3,4
PA,6/20/2023,12,V3,104,1,,3,7,11
PA,6/20/2023,12,V3,201,2,,1,6,12
PA,6/20/2023,12,V3,201,2,,2,3,5
PA,6/20/2023,12,V3,201,2,,3,10,11
PA,6/20/2023,12,V3,202,2,,1,7,10
PA,6/20/2023,12,V3,202,2,,2,7,11
PA,6/20/2023,12,V3,202,2,,3,10,12
PA,6/20/2023,12,V3,203,2,,1,8,9
PA,6/20/2023,12,V3,203,2,,2,4,8
PA,6/20/2023,12,V3,203,2,,3,8,15
PA,6/20/2023,12,V3,204,2,,1,2,10
PA,6/20/2023,12,V3,204,2,,2,3,12
PA,6/20/2023,12,V3,204,2,,3,5,13
PA,6/20/2023,12,V3,301,3,,1,3,5
PA,6/20/2023,12,V3,301,3,,2,8,8
PA,6/20/2023,12,V3,301,3,,3,4,6
PA,6/20/2023,12,V3,302,3,,1,4,7
PA,6/20/2023,12,V3,302,3,,2,2,3
PA,6/20/2023,12,V3,302,3,,3,3,4
PA,6/20/2023,12,V3,303,3,,1,1,7
PA,6/20/2023,12,V3,303,3,,2,9,10
PA,6/20/2023,12,V3,303,3,,3,11,11
PA,6/20/2023,12,V3,304,3,,1,3,3
PA,6/20/2023,12,V3,304,3,,2,2,2
PA,6/20/2023,12,V3,304,3,,3,7,10
PA,6/20/2023,12,V3,401,4,,1,7,11
PA,6/20/2023,12,V3,401,4,,2,9,11
PA,6/20/2023,12,V3,401,4,,3,4,10
PA,6/20/2023,12,V3,402,4,,1,6,8
PA,6/20/2023,12,V3,402,4,,2,9,16
PA,6/20/2023,12,V3,402,4,,3,6,7
PA,6/20/2023,12,V3,403,4,,1,8,12
PA,6/20/2023,12,V3,403,4,,2,9,13
PA,6/20/2023,12,V3,403,4,,3,6,13
PA,6/20/2023,12,V3,404,4,,1,6,9
PA,6/20/2023,12,V3,404,4,,2,9,9
PA,6/20/2023,12,V3,404,4,,3,8,10
PA,6/20/2023,12,V3,501,5,,1,4,6
PA,6/20/2023,12,V3,501,5,,2,8,8
PA,6/20/2023,12,V3,501,5,,3,5,8
PA,6/20/2023,12,V3,502,5,,1,11,11
PA,6/20/2023,12,V3,502,5,,2,4,7
PA,6/20/2023,12,V3,502,5,,3,7,8
PA,6/20/2023,12,V3,503,5,,1,8,10
PA,6/20/2023,12,V3,503,5,,2,8,10
PA,6/20/2023,12,V3,503,5,,3,2,2
PA,6/20/2023,12,V3,504,5,,1,7,11
PA,6/20/2023,12,V3,504,5,,2,4,8
PA,6/20/2023,12,V3,504,5,,3,9,13
