location,crop,date,am.weather,pm.weather,growth_stage,ploitid,block,treatment,row,sample,pm.absent,pm.partial,pm.predators,am.absent,am.partial,am.predators,n.pred,d.pred,to.predated
PA,beans,6/22/2022,22.7,26.1,V3,101,1,1,6,1,0,1,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,101,1,1,6,2,0,1,na,0,1,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,101,1,1,6,3,0,1,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,101,1,1,11,4,0,0,na,0,0,na,0,0,0
PA,beans,6/22/2022,22.7,26.1,V3,101,1,1,11,5,0,1,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,101,1,1,11,6,0,0,na,0,0,na,0,0,0
PA,beans,6/22/2022,22.7,26.1,V3,102,1,3,6,1,0,0,na,1,na,na,0,1,1
PA,beans,6/22/2022,22.7,26.1,V3,102,1,3,6,2,0,0,na,1,na,na,0,1,1
PA,beans,6/22/2022,22.7,26.1,V3,102,1,3,6,3,0,0,na,1,na,na,0,1,1
PA,beans,6/22/2022,22.7,26.1,V3,102,1,3,11,4,0,0,na,1,na,na,0,1,1
PA,beans,6/22/2022,22.7,26.1,V3,102,1,3,11,5,0,1,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,102,1,3,11,6,1,na,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,103,1,2,6,1,1,na,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,103,1,2,6,2,0,1,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,103,1,2,6,3,0,0,na,0,0,na,0,0,0
PA,beans,6/22/2022,22.7,26.1,V3,103,1,2,11,4,0,1,slug,0,1,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,103,1,2,11,5,0,0,na,0,0,na,0,0,0
PA,beans,6/22/2022,22.7,26.1,V3,103,1,2,11,6,0,0,na,0,1,na,0,1,1
PA,beans,6/22/2022,22.7,26.1,V3,104,1,4,6,1,0,1,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,104,1,4,6,2,0,0,na,0,1,na,0,1,1
PA,beans,6/22/2022,22.7,26.1,V3,104,1,4,6,3,0,1,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,104,1,4,11,4,0,1,na,0,1,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,104,1,4,11,5,0,1,slug,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,104,1,4,11,6,1,na,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,201,2,3,6,1,0,1,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,201,2,3,6,2,0,0,na,1,na,spider,0,1,1
PA,beans,6/22/2022,22.7,26.1,V3,201,2,3,6,3,0,1,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,201,2,3,11,4,0,1,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,201,2,3,11,5,0,0,na,1,na,na,0,1,1
PA,beans,6/22/2022,22.7,26.1,V3,201,2,3,11,6,0,1,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,202,2,4,6,1,0,0,na,0,0,na,0,0,0
PA,beans,6/22/2022,22.7,26.1,V3,202,2,4,6,2,0,1,na,0,0,na,1,0,1
PA,beans,6/22/2022,22.7,26.1,V3,202,2,4,6,3,0,0,na,0,1,na,0,1,1
PA,beans,6/22/2022,22.7,26.1,V3,202,2,4,11,4,0,1,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,202,2,4,11,5,0,0,na,0,0,na,0,0,0
PA,beans,6/22/2022,22.7,26.1,V3,202,2,4,11,6,0,1,slug,0,1,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,203,2,1,6,1,0,1,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,203,2,1,6,2,0,0,na,0,0,na,0,0,0
PA,beans,6/22/2022,22.7,26.1,V3,203,2,1,6,3,0,0,na,1,na,na,0,1,1
PA,beans,6/22/2022,22.7,26.1,V3,203,2,1,11,4,0,0,na,0,0,na,0,0,0
PA,beans,6/22/2022,22.7,26.1,V3,203,2,1,11,5,0,1,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,203,2,1,11,6,0,1,ants,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,204,2,2,6,1,0,1,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,204,2,2,6,2,0,1,ants,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,204,2,2,6,3,0,1,ants,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,204,2,2,11,4,1,na,ants,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,204,2,2,11,5,0,1,ants,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,204,2,2,11,6,0,1,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,301,3,4,6,1,0,0,na,0,0,na,0,0,0
PA,beans,6/22/2022,22.7,26.1,V3,301,3,4,6,2,0,0,na,0,0,na,0,0,0
PA,beans,6/22/2022,22.7,26.1,V3,301,3,4,6,3,0,0,na,0,0,carabid,0,0,0
PA,beans,6/22/2022,22.7,26.1,V3,301,3,4,11,4,0,1,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,301,3,4,11,5,0,0,na,0,1,na,0,1,1
PA,beans,6/22/2022,22.7,26.1,V3,301,3,4,11,6,1,na,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,302,3,2,6,1,0,1,na,0,1,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,302,3,2,6,2,0,1,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,302,3,2,6,3,0,1,na,0,1,carabid,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,302,3,2,11,4,0,1,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,302,3,2,11,5,1,na,slug,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,302,3,2,11,6,0,1,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,303,3,3,6,1,0,0,na,0,0,na,0,0,0
PA,beans,6/22/2022,22.7,26.1,V3,303,3,3,6,2,0,0,na,0,0,na,0,0,0
PA,beans,6/22/2022,22.7,26.1,V3,303,3,3,6,3,1,na,slug,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,303,3,3,11,4,0,1,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,303,3,3,11,5,0,1,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,303,3,3,11,6,1,na,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,304,3,1,6,1,0,0,na,1,na,na,0,1,1
PA,beans,6/22/2022,22.7,26.1,V3,304,3,1,6,2,0,1,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,304,3,1,6,3,0,1,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,304,3,1,11,4,0,0,na,0,0,na,0,0,0
PA,beans,6/22/2022,22.7,26.1,V3,304,3,1,11,5,0,1,na,0,1,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,304,3,1,11,6,0,0,na,0,0,na,0,0,0
PA,beans,6/22/2022,22.7,26.1,V3,401,4,1,6,1,0,0,na,1,na,na,0,1,1
PA,beans,6/22/2022,22.7,26.1,V3,401,4,1,6,2,0,0,na,1,na,na,0,1,1
PA,beans,6/22/2022,22.7,26.1,V3,401,4,1,6,3,0,1,"ants, slug",0,1,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,401,4,1,11,4,0,0,na,1,na,na,0,1,1
PA,beans,6/22/2022,22.7,26.1,V3,401,4,1,11,5,0,0,na,1,na,na,0,1,1
PA,beans,6/22/2022,22.7,26.1,V3,401,4,1,11,6,0,0,na,1,na,na,0,1,1
PA,beans,6/22/2022,22.7,26.1,V3,402,4,3,6,1,0,0,na,1,na,na,0,1,1
PA,beans,6/22/2022,22.7,26.1,V3,402,4,3,6,2,0,1,slug,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,402,4,3,6,3,0,0,na,1,na,na,0,1,1
PA,beans,6/22/2022,22.7,26.1,V3,402,4,3,11,4,0,0,na,1,na,na,0,1,1
PA,beans,6/22/2022,22.7,26.1,V3,402,4,3,11,5,0,1,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,402,4,3,11,6,0,1,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,403,4,2,6,1,0,0,na,1,na,na,0,1,1
PA,beans,6/22/2022,22.7,26.1,V3,403,4,2,6,2,0,0,na,1,na,na,0,1,1
PA,beans,6/22/2022,22.7,26.1,V3,403,4,2,6,3,1,na,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,403,4,2,11,4,0,1,slug,0,0,na,1,0,1
PA,beans,6/22/2022,22.7,26.1,V3,403,4,2,11,5,0,0,na,1,na,na,0,1,1
PA,beans,6/22/2022,22.7,26.1,V3,403,4,2,11,6,0,1,opiliones,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,404,4,4,6,1,1,na,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,404,4,4,6,2,0,0,na,1,na,beetle,0,1,1
PA,beans,6/22/2022,22.7,26.1,V3,404,4,4,6,3,0,1,beetle,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,404,4,4,11,4,0,0,na,1,na,na,0,1,1
PA,beans,6/22/2022,22.7,26.1,V3,404,4,4,11,5,0,0,na,1,na,na,0,1,1
PA,beans,6/22/2022,22.7,26.1,V3,404,4,4,11,6,0,0,na,1,na,na,0,1,1
PA,beans,6/22/2022,22.7,26.1,V3,501,5,2,6,1,1,na,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,501,5,2,6,2,0,1,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,501,5,2,6,3,0,0,na,1,na,na,0,1,1
PA,beans,6/22/2022,22.7,26.1,V3,501,5,2,11,4,0,0,na,0,0,na,0,0,0
PA,beans,6/22/2022,22.7,26.1,V3,501,5,2,11,5,0,0,na,1,na,na,0,1,1
PA,beans,6/22/2022,22.7,26.1,V3,501,5,2,11,6,0,0,na,1,na,na,0,1,1
PA,beans,6/22/2022,22.7,26.1,V3,502,5,3,6,1,0,1,slug,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,502,5,3,6,2,0,0,na,1,na,na,0,1,1
PA,beans,6/22/2022,22.7,26.1,V3,502,5,3,6,3,0,0,na,0,0,na,0,0,0
PA,beans,6/22/2022,22.7,26.1,V3,502,5,3,11,4,0,1,ants,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,502,5,3,11,5,0,1,slug,0,1,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,502,5,3,11,6,0,0,na,0,1,na,0,1,1
PA,beans,6/22/2022,22.7,26.1,V3,503,5,1,6,1,0,0,na,0,0,na,0,0,0
PA,beans,6/22/2022,22.7,26.1,V3,503,5,1,6,2,0,0,na,0,0,na,0,0,0
PA,beans,6/22/2022,22.7,26.1,V3,503,5,1,6,3,0,1,ants,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,503,5,1,11,4,0,1,ants,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,503,5,1,11,5,0,0,na,0,0,na,0,0,0
PA,beans,6/22/2022,22.7,26.1,V3,503,5,1,11,6,0,1,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,504,5,4,6,1,0,1,na,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,504,5,4,6,2,0,1,ants,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,504,5,4,6,3,0,0,na,1,na,na,0,1,1
PA,beans,6/22/2022,22.7,26.1,V3,504,5,4,11,4,0,0,na,0,0,na,0,0,0
PA,beans,6/22/2022,22.7,26.1,V3,504,5,4,11,5,0,1,ants,1,na,na,1,1,1
PA,beans,6/22/2022,22.7,26.1,V3,504,5,4,11,6,0,0,na,1,na,na,0,1,1
PA,beans,7/12/2022,25,25,V5,101,1,1,6,1,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,101,1,1,6,2,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,101,1,1,6,3,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,101,1,1,11,4,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,101,1,1,11,5,0,0,na,1,na,na,0,1,1
PA,beans,7/12/2022,25,25,V5,101,1,1,11,6,0,1,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,102,1,3,6,1,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,102,1,3,6,2,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,102,1,3,6,3,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,102,1,3,11,4,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,102,1,3,11,5,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,102,1,3,11,6,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,103,1,2,6,1,0,1,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,103,1,2,6,2,0,1,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,103,1,2,6,3,0,1,lady beetle,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,103,1,2,11,4,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,103,1,2,11,5,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,103,1,2,11,6,0,0,na,1,na,na,0,1,1
PA,beans,7/12/2022,25,25,V5,104,1,4,6,1,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,104,1,4,6,2,0,1,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,104,1,4,6,3,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,104,1,4,11,4,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,104,1,4,11,5,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,104,1,4,11,6,0,1,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,201,2,3,6,1,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,201,2,3,6,2,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,201,2,3,6,3,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,201,2,3,11,4,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,201,2,3,11,5,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,201,2,3,11,6,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,202,2,4,6,1,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,202,2,4,6,2,0,1,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,202,2,4,6,3,0,0,na,0,1,staphylinidae,0,1,1
PA,beans,7/12/2022,25,25,V5,202,2,4,11,4,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,202,2,4,11,5,0,0,na,1,na,na,0,1,1
PA,beans,7/12/2022,25,25,V5,202,2,4,11,6,0,1,carabidae,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,203,2,1,6,1,0,1,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,203,2,1,6,2,0,0,na,0,0,na,0,0,0
PA,beans,7/12/2022,25,25,V5,203,2,1,6,3,0,1,na,0,1,na,1,1,1
PA,beans,7/12/2022,25,25,V5,203,2,1,11,4,0,0,na,0,1,na,0,1,1
PA,beans,7/12/2022,25,25,V5,203,2,1,11,5,0,1,ants,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,203,2,1,11,6,0,0,na,0,1,ants,0,1,1
PA,beans,7/12/2022,25,25,V5,204,2,2,6,1,0,0,na,1,na,na,0,1,1
PA,beans,7/12/2022,25,25,V5,204,2,2,6,2,0,1,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,204,2,2,6,3,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,204,2,2,11,4,1,na,ants,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,204,2,2,11,5,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,204,2,2,11,6,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,301,3,4,6,1,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,301,3,4,6,2,0,1,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,301,3,4,6,3,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,301,3,4,11,4,1,na,ants,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,301,3,4,11,5,1,na,ants,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,301,3,4,11,6,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,302,3,2,6,1,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,302,3,2,6,2,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,302,3,2,6,3,0,1,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,302,3,2,11,4,0,1,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,302,3,2,11,5,0,1,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,302,3,2,11,6,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,303,3,3,6,1,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,303,3,3,6,2,0,1,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,303,3,3,6,3,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,303,3,3,11,4,0,1,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,303,3,3,11,5,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,303,3,3,11,6,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,304,3,1,6,1,0,0,na,0,1,na,0,1,1
PA,beans,7/12/2022,25,25,V5,304,3,1,6,2,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,304,3,1,6,3,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,304,3,1,11,4,0,0,na,0,1,na,0,1,1
PA,beans,7/12/2022,25,25,V5,304,3,1,11,5,0,0,na,0,1,na,0,1,1
PA,beans,7/12/2022,25,25,V5,304,3,1,11,6,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,401,4,1,6,1,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,401,4,1,6,2,0,1,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,401,4,1,6,3,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,401,4,1,11,4,0,1,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,401,4,1,11,5,0,1,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,401,4,1,11,6,0,0,na,1,na,na,0,1,1
PA,beans,7/12/2022,25,25,V5,402,4,3,6,1,0,0,na,0,1,na,0,1,1
PA,beans,7/12/2022,25,25,V5,402,4,3,6,2,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,402,4,3,6,3,0,1,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,402,4,3,11,4,0,1,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,402,4,3,11,5,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,402,4,3,11,6,0,0,na,1,na,na,0,1,1
PA,beans,7/12/2022,25,25,V5,403,4,2,6,1,0,1,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,403,4,2,6,2,0,1,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,403,4,2,6,3,0,1,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,403,4,2,11,4,0,0,na,1,na,na,0,1,1
PA,beans,7/12/2022,25,25,V5,403,4,2,11,5,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,403,4,2,11,6,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,404,4,4,6,1,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,404,4,4,6,2,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,404,4,4,6,3,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,404,4,4,11,4,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,404,4,4,11,5,0,0,na,0,1,na,0,1,1
PA,beans,7/12/2022,25,25,V5,404,4,4,11,6,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,501,5,2,6,1,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,501,5,2,6,2,0,1,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,501,5,2,6,3,0,1,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,501,5,2,11,4,0,0,na,1,na,na,0,1,1
PA,beans,7/12/2022,25,25,V5,501,5,2,11,5,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,501,5,2,11,6,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,502,5,3,6,1,0,1,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,502,5,3,6,2,0,1,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,502,5,3,6,3,0,1,ants,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,502,5,3,11,4,1,na,ants,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,502,5,3,11,5,1,na,cricket,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,502,5,3,11,6,0,1,ants,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,503,5,1,6,1,1,na,ants,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,503,5,1,6,2,0,1,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,503,5,1,6,3,0,1,na,0,1,na,1,1,1
PA,beans,7/12/2022,25,25,V5,503,5,1,11,4,0,0,na,0,1,na,0,1,1
PA,beans,7/12/2022,25,25,V5,503,5,1,11,5,1,na,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,503,5,1,11,6,0,0,na,1,na,na,0,1,1
PA,beans,7/12/2022,25,25,V5,504,5,4,6,1,0,1,ants,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,504,5,4,6,2,1,na,slug,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,504,5,4,6,3,0,0,na,1,na,na,0,1,1
PA,beans,7/12/2022,25,25,V5,504,5,4,11,4,0,1,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,504,5,4,11,5,,1,na,1,na,na,1,1,1
PA,beans,7/12/2022,25,25,V5,504,5,4,11,6,0,1,na,1,na,na,1,1,1
