Date,Plot ,Order,Infraorder,Family ,Genus ,adult_juvenile
5/4/2023,103,na,na,na,na,na
5/4/2023,204,Coleoptera,na,Cerambicidae,na,adult
5/4/2023,204,Araneomorphae,na,Linyphiidae,na,juvenile
5/4/2023,302,Diptera,na,Syrphidae,na,adult
5/4/2023,403,Coleoptera,na,Cerambicidae,na,adult
5/4/2023,403,Araneomorphae,na,Thomisidae,na,juvenile
5/4/2023,501,na,na,na,na,na
5/22/2023,102,Hemiptera,Heteroptera,na ,,adult
5/22/2023,102,Hemiptera,Heteroptera,na ,,adult
5/22/2023,102,Hemiptera,Heteroptera,na ,,adult
5/22/2023,102,Hemiptera,Heteroptera,na ,,adult
5/22/2023,102,Araneomorphae,na,Lycosidae,na,juvenile
5/22/2023,104,Hemiptera,Heteroptera,na ,,adult
5/22/2023,104,Hemiptera,Heteroptera,na ,,adult
5/22/2023,104,Hemiptera,Heteroptera,na ,,adult
5/22/2023,201,Hemiptera,na,Pentatomidae,,adult
5/22/2023,201,Araneomorphae,na,Linyphiidae,na,adult
5/22/2023,202,Hemiptera,Heteroptera,na ,,adult
5/22/2023,301,Hemiptera,Heteroptera,na ,,adult
5/22/2023,303,Hemiptera,na,Pentatomidae,,adult
5/22/2023,402,Hemiptera,Heteroptera,na ,,adult
5/22/2023,402,Hemiptera,Heteroptera,na ,,adult
5/22/2023,402,Hemiptera,Heteroptera,na ,,adult
5/22/2023,402,Hemiptera,Heteroptera,na ,,adult
5/22/2023,402,Hemiptera,Heteroptera,na ,,adult
5/22/2023,402,Hemiptera,na,Pentatomidae,,adult
5/22/2023,402,Araneomorphae,na,Mysemindae,na,na
5/22/2023,404,empty,na,na,na,na
5/22/2023,502,Hemiptera,Heteroptera,na ,,adult
5/22/2023,502,Hemiptera,Heteroptera,na ,,adult
5/22/2023,502,Hemiptera,Heteroptera,na ,,adult
5/22/2023,502,Hemiptera,na,na,na,juvenile
5/22/2023,502,Araneomorphae,na,Lycosidae,na,juvenile
5/22/2023,502,Araneomorphae,na,Lycosidae,na,juvenile
5/22/2023,502,Araneomorphae,na,Lycosidae,na,na
5/22/2023,504,empty,na,na,na,na
6/28/2023,501,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
6/28/2023,501,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
6/28/2023,302,Orthoptera,na,na,na,juvenile
6/28/2023,302,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
6/28/2023,302,Hymenoptera,na,Formicidae,na,adult
6/28/2023,302,Araneomorpha,na,Mysmenidae,na,adult
6/28/2023,302,Coleoptera,na,Tenebrionidae,Anthromacra,adult
6/28/2023,202,Araneomorpha,na,Thomisidae,Xysticus,adult
6/28/2023,203,Araneomorpha,na,Mysmenidae,na,adult
6/28/2023,103,Orthoptera,Ensifera,Gryllidae,na,juvenile
6/28/2023,103,Coleoptera,na,Chrysomelidae,na,adult
6/28/2023,103,Thysanoptera,na,na,na,adult
6/28/2023,102,Coleoptera,na,Chrysomelidae,na,adult
6/28/2023,102,Coleoptera,na,Chrysomelidae,na,adult
6/28/2023,102,Coleoptera,na,Chrysomelidae,na,adult
6/28/2023,102,Coleoptera,na,Chrysomelidae,na,adult
6/28/2023,102,Coleoptera,na,Chrysomelidae,na,adult
6/28/2023,102,Hemiptera,Sternorrhyncha,Aphidae,na,adult
6/28/2023,102,Hemiptera,Heteroptera,Lygaeidae,na,adult
6/28/2023,102,Orthoptera,Caelifera,Acrididae,na,juvenile
6/28/2023,502,Coleoptera,na,Cantharidae,na,adult
6/28/2023,502,Coleoptera,na,Chrysomelidae,na,adult
6/28/2023,502,Orthoptera,na,Acrididae,na,juvenile
6/28/2023,502,Orthoptera,na,Gryllidae,na,juvenile
6/28/2023,502,Araneomorpha,na,Thomisidae,Xysticus,adult
6/28/2023,502,Hemiptera,na,Geocoridae,na,adult
6/28/2023,301,Coleoptera,na,Chrysomelidae,na,adult
6/28/2023,301,Coleoptera,na,Chrysomelidae,na,adult
6/28/2023,301,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
6/28/2023,402,Araneomorpha,na,Lycosidae,Pardosa,adult
6/28/2023,402,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
6/28/2023,402,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
6/28/2023,402,Orthoptera,Ensifera,Gryllidae,na,juvenile
6/28/2023,402,Orthoptera,Caelifera,na,na,juvenile
6/28/2023,201,Hemiptera,Auchenorrhynca,Cicadelidae,na,juvenile
6/28/2023,201,Araneomorpha,na,Linyphiidae,na,adult
6/28/2023,504,Orthoptera,Caelifera,na,na,juvenile
6/28/2023,504,Orthoptera,Caelifera,na,na,juvenile
6/28/2023,504,Orthoptera,Caelifera,na,na,juvenile
6/28/2023,504,Orthoptera,Caelifera,na,na,juvenile
6/28/2023,504,Orthoptera,Caelifera,na,na,juvenile
6/28/2023,504,Araneomorpha,na,Lycosidae,na,juvenile
6/28/2023,504,Araneomorpha,Auchenorrhynca,Araneidae,na,adult
6/28/2023,504,Hemiptera,Auchenorrhynca,Cicadelidae,na,juvenile
6/28/2023,504,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
6/28/2023,504,Hemiptera,na,Aphidae,na,adult
6/28/2023,303,Orthoptera,Ensifera,Gryllidae,na,juvenile
6/28/2023,303,Orthoptera,Ensifera,Gryllidae,na,juvenile
6/28/2023,303,Orthoptera,Caelifera,na,na,juvenile
6/28/2023,303,Araneomorpha,na,Lycosidae,na,juvenile
6/28/2023,303,Hemiptera,Sternorrhyncha,Aphidae,na,adult
6/28/2023,303,Hemiptera,Auchenorrhynca,Cicadelidae,na,juvenile
6/28/2023,303,Coleoptera,na,Chrysomelidae,na,adult
6/28/2023,303,Thysanoptera,na,na,na,adult
6/28/2023,404,Coleoptera,na,Chrysomelidae,na,adult
6/28/2023,404,Coleoptera,na,Chrysomelidae,na,adult
6/28/2023,404,Araneomorpha,na,Thomisidae,na,juvenile
6/28/2023,501,Orthoptera,Ensifera,Gryllidae,na,juvenile
6/28/2023,501,Orthoptera,Ensifera,Gryllidae,na,juvenile
6/28/2023,501,Orthoptera,Ensifera,Gryllidae,na,juvenile
6/28/2023,501,Opiliones,na,na,na,juvenile
6/28/2023,501,Lepidoptera,na,Hesperiidae,na,juvenile
6/28/2023,501,Orthoptera,Caelifera,na,na,juvenile
6/28/2023,501,Orthoptera,Caelifera,na,na,juvenile
6/28/2023,501,Coleoptera,na,Chrysomelidae,na,adult
6/28/2023,501,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
6/28/2023,501,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
6/28/2023,501,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
6/28/2023,101,Coleoptera,na,Chrysomelidae,na,adult
6/28/2023,403,Orthoptera,Caelifera,Tetrigidae,na,adult
6/28/2023,403,Orthoptera,Caelifera,na,na,juvenile
6/28/2023,403,Coleoptera,na,Mordellidae,na,adult
6/28/2023,403,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
6/28/2023,503,Orthoptera,Caelifera,na,na,juvenile
6/28/2023,503,Orthoptera,Caelifera,na,na,juvenile
6/28/2023,304,Araneomorpha,na,Thomisidae,na,juvenile
6/28/2023,304,Araneomorpha,na,Thomisidae,na,juvenile
6/28/2023,304,Araneomorpha,na,Thomisidae,na,juvenile
6/28/2023,304,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
6/28/2023,304,Hymenoptera,na,Formicidae,na,adult
6/28/2023,401,Orthoptera,Caelifera,na,na,juvenile
6/28/2023,401,Coleoptera,na,Cantharidae,na,adult
6/28/2023,401,Coleoptera,na,Chrysomelidae,na,adult
6/28/2023,401,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
6/28/2023,401,Hemiptera,Auchenorrhynca,Cicadelidae,na,juvenile
7/26/2023,502,Thysanoptera,na,na,na,adult
7/26/2023,502,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,502,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,502,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,502,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,502,Lepidoptera,na,na,na,juvenile
7/26/2023,502,Orthoptera,Ensifera,na,na,juvenile
7/26/2023,502,Neuroptera,na,na,na,juvenile
7/26/2023,502,Araneomorphae,na,Linyphiidae,na,adult
7/26/2023,502,Hemiptera,na,na,na,juvenile
7/26/2023,502,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,504,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,504,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,504,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,504,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,504,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,504,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,504,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,504,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,504,Hemiptera,Heteroptera,Lygaeidae,na,adult
7/26/2023,504,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,504,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,504,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,504,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,504,Lepidoptera,na,na,na,juvenile
7/26/2023,504,Lepidoptera,na,na,na,juvenile
7/26/2023,504,Lepidoptera,na,na,na,juvenile
7/26/2023,504,Orthoptera,Caelifera,na,na,juvenile
7/26/2023,504,Araneomorphae,na,Salticidae,na,adult
7/26/2023,503,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,503,Hemiptera,Auchenorrhynca,na,na,juvenile
7/26/2023,503,Thysanoptera,na,na,na,adult
7/26/2023,503,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,503,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,503,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,503,Araneomorphae,na,na,na,na
7/26/2023,503,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,503,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,503,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,503,Thysanoptera,na,na,na,adult
7/26/2023,503,Thysanoptera,na,na,na,adult
7/26/2023,503,Thysanoptera,na,na,na,adult
7/26/2023,503,Coleoptera,na,Cicindelidae,Cicindela,adult
7/26/2023,503,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,503,Coleoptera,na,Lampyridae,na,adult
7/26/2023,503,Orthoptera,Caelifera,Acrididae,na,adult
7/26/2023,503,Hemiptera,Heteroptera,Pentatomidae,Podisus,adult
7/26/2023,503,Hemiptera,Heteroptera,Lygaeidae,na,adult
7/26/2023,503,Hemiptera,Heteroptera,Lygaeidae,na,adult
7/26/2023,503,Lepidoptera,na,na,na,juvenile
7/26/2023,503,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,404,Coleoptera,na,Coccinelidae,na,adult
7/26/2023,404,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,501,Hemiptera,Heteroptera,Anthocoridae,na,juvenile
7/26/2023,501,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,501,Thysanoptera,na,na,na,adult
7/26/2023,501,Thysanoptera,na,na,na,adult
7/26/2023,501,Thysanoptera,na,na,na,adult
7/26/2023,501,Thysanoptera,na,na,na,adult
7/26/2023,501,Lepidoptera,na,na,na,juvenile
7/26/2023,501,Araneomorphae,na,Linyphiidae,na,adult
7/26/2023,501,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,501,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,501,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,501,Hemiptera,Auchenorrhynca,Cicadelidae,na,juvenile
7/26/2023,501,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,501,Araneomorphae,na,Linyphiidae,na,adult
7/26/2023,501,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,501,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,501,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,501,Thysanoptera,na,na,na,adult
7/26/2023,501,Thysanoptera,na,na,na,adult
7/26/2023,501,Thysanoptera,na,na,na,adult
7/26/2023,501,Lepidoptera,na,na,na,juvenile
7/26/2023,501,Hemiptera,Sternorrhyncha,Aphidae,na,adult
7/26/2023,501,Hemiptera,Heteroptera,Lygaeidae,na,adult
7/26/2023,501,Coleoptera,na,Lampyridae,na,adult
7/26/2023,501,Coleoptera,na,Curculionidae,na,adult
7/26/2023,501,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,501,Lepidoptera,na,na,na,juvenile
7/26/2023,501,Lepidoptera,na,na,na,juvenile
7/26/2023,501,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,501,Orthoptera,Caelifera,na,na,juvenile
7/26/2023,501,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,501,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,501,Araneomorphae,na,Tetragnathidae,tetragnatha,adult
7/26/2023,402,Thysanoptera,na,na,na,adult
7/26/2023,402,Thysanoptera,na,na,na,adult
7/26/2023,402,Thysanoptera,na,na,na,adult
7/26/2023,402,Thysanoptera,na,na,na,adult
7/26/2023,402,Thysanoptera,na,na,na,adult
7/26/2023,402,Thysanoptera,na,na,na,adult
7/26/2023,402,Thysanoptera,na,na,na,adult
7/26/2023,402,Thysanoptera,na,na,na,adult
7/26/2023,402,Thysanoptera,na,na,na,adult
7/26/2023,402,Thysanoptera,na,na,na,adult
7/26/2023,402,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,402,Hemiptera,Sternorrhyncha,Cocomorpha,na,adult
7/26/2023,402,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,402,Thysanoptera,na,na,na,adult
7/26/2023,402,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,402,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,402,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,402,Thysanoptera,na,na,na,adult
7/26/2023,402,Araneomorphae,na,Thomisidae,na,juvenile
7/26/2023,402,Araneomorphae,na,na,na,juvenile
7/26/2023,402,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,402,Orthoptera,Caelifera,na,na,juvenile
7/26/2023,104,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,104,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,104,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,104,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,104,Lepidoptera,na,na,na,juvenile
7/26/2023,104,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,104,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,104,Araneomorphae,na,Salticidae,na,adult
7/26/2023,104,Araneomorphae,na,Salticidae,na,adult
7/26/2023,104,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,104,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,104,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,104,Thysanoptera,na,na,na,adult
7/26/2023,104,Thysanoptera,na,na,na,adult
7/26/2023,104,Thysanoptera,na,na,na,adult
7/26/2023,104,Thysanoptera,na,na,na,adult
7/26/2023,104,Thysanoptera,na,na,na,adult
7/26/2023,104,Thysanoptera,na,na,na,adult
7/26/2023,104,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,104,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,103,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,103,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,103,Coleoptera,na,Cicindelidae,Cicindela,adult
7/26/2023,103,Thysanoptera,na,na,na,adult
7/26/2023,103,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,102,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,102,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,102,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,102,Thysanoptera,na,na,na,adult
7/26/2023,102,Thysanoptera,na,na,na,adult
7/26/2023,102,Orthoptera,Caelifera,na,na,juvenile
7/26/2023,102,Araneomorphae,na,Salticidae,na,adult
7/26/2023,102,Neuroptera,na,Hemerobiidae,na,adult
7/26/2023,101,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,101,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,101,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,101,Coleoptera,na,Scarabaeidae,na,adult
7/26/2023,101,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,101,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,101,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,101,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,101,Araneomorphae,na,Tetragnathidae,na,adult
7/26/2023,101,Hemiptera,Heteroptera,Lygaeidae,na,adult
7/26/2023,101,Thysanoptera,na,na,na,adult
7/26/2023,101,Thysanoptera,na,na,na,adult
7/26/2023,101,Thysanoptera,na,na,na,adult
7/26/2023,101,Thysanoptera,na,na,na,adult
7/26/2023,101,Thysanoptera,na,na,na,adult
7/26/2023,101,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,101,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,101,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,203,Araneomorphae,na,Araneidae,na,juvenile
7/26/2023,203,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,203,Coleoptera,na,Coccinelidae,na,adult
7/26/2023,203,Coleoptera,na,Elateridae,na,adult
7/26/2023,203,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,203,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,203,Thysanoptera,na,na,na,adult
7/26/2023,203,Thysanoptera,na,na,na,adult
7/26/2023,203,Thysanoptera,na,na,na,adult
7/26/2023,203,Thysanoptera,na,na,na,adult
7/26/2023,203,Thysanoptera,na,na,na,adult
7/26/2023,203,Thysanoptera,na,na,na,adult
7/26/2023,203,Coleoptera,na,Elateridae,na,adult
7/26/2023,203,Thysanoptera,na,na,na,adult
7/26/2023,203,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,203,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,203,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,203,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,203,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,203,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,203,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,203,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,203,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,203,Coleoptera,na,Coccinelidae,na,adult
7/26/2023,203,Neuroptera,na,Hemerobiidae,na,adult
7/26/2023,203,Thysanoptera,na,na,na,adult
7/26/2023,201,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,201,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,201,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,201,Thysanoptera,na,na,na,adult
7/26/2023,201,Thysanoptera,na,na,na,adult
7/26/2023,201,Araneomorphae,na,Linyphiidae,na,adult
7/26/2023,201,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,201,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,201,Thysanoptera,na,na,na,adult
7/26/2023,201,Coleoptera,na,Lampyridae,na,adult
7/26/2023,201,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,201,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,201,Coleoptera,na,Coccinelidae,na,adult
7/26/2023,201,Araneomorphae,na,Salticidae,na,adult
7/26/2023,201,Araneomorphae,na,Salticidae,na,adult
7/26/2023,201,Hemiptera,Heteroptera,Pentatomidae,Podisus,adult
7/26/2023,201,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,204,Coleoptera,na,Lampyridae,na,adult
7/26/2023,204,Thysanoptera,na,na,na,adult
7/26/2023,204,Thysanoptera,na,na,na,adult
7/26/2023,204,Hemiptera,Sternorrhyncha,Cocomorpha,na,adult
7/26/2023,204,Hemiptera,Heteroptera,Anthocoridae,na,adult
