Date,Plot ,Order,Infraorder,Family ,Genus ,adult_juvenile
7/26/2023,204,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,204,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,204,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,204,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,204,Hemiptera,Heteroptera,Lygaeidae,na,adult
7/26/2023,204,Coleoptera,na,Coccinelidae,na,adult
7/26/2023,204,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,204,Lepidoptera,na,na,na,juvenile
7/26/2023,204,Coleoptera,na,Nitidulidae,na,adult
7/26/2023,204,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,204,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,204,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,204,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,204,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,204,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,204,Hemiptera,Heteroptera,Lygaeidae,na,adult
7/26/2023,204,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,204,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,204,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,204,Lepidoptera,na,na,na,juvenile
7/26/2023,204,Lepidoptera,na,na,na,juvenile
7/26/2023,204,Lepidoptera,na,na,na,juvenile
7/26/2023,204,Thysanoptera,na,na,na,adult
7/26/2023,204,Thysanoptera,na,na,na,adult
7/26/2023,204,Thysanoptera,na,na,na,adult
7/26/2023,204,Thysanoptera,na,na,na,adult
7/26/2023,301,Thysanoptera,na,na,na,adult
7/26/2023,301,Coleoptera,na,Scarabaeidae,na,adult
7/26/2023,301,Hemiptera,Auchenorrhynca,Membracidae,na,adult
7/26/2023,301,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,301,Hemiptera,Heteroptera,Anthocoridae,na,juvenile
7/26/2023,301,Hemiptera,Heteroptera,Anthocoridae,na,juvenile
7/26/2023,301,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,301,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,301,Thysanoptera,na,na,na,adult
7/26/2023,301,Araneomorphae,na,Linyphiidae,na,adult
7/26/2023,301,Araneomorphae,na,Thomisidae,na,adult
7/26/2023,301,Hemiptera,Heteroptera,Lygaeidae,na,adult
7/26/2023,301,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,301,Hemiptera,Auchenorrhynca,Cicadelidae,na,juvenile
7/26/2023,301,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,301,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,301,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,303,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,303,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,303,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,303,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,303,Coleoptera,na,Lampyridae,na,adult
7/26/2023,303,Coleoptera,na,Lampyridae,na,adult
7/26/2023,303,Coleoptera,na,Scarabaeidae,na,adult
7/26/2023,303,Lepidoptera,na,na,na,juvenile
7/26/2023,303,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,303,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,303,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,303,Hemiptera,Sternorrhyncha,Aphidae,na,adult
7/26/2023,303,Neuroptera,na,Hemerobiidae,na,adult
7/26/2023,303,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,303,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,303,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,303,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,303,Araneomorphae,na,Linyphiidae,na,adult
7/26/2023,303,Araneomorphae,na,Araneidae,na,adult
7/26/2023,303,Coleoptera,na,Coccinelidae,na,adult
7/26/2023,303,Hemiptera,Sternorrhyncha,Aphidae,na,adult
7/26/2023,303,Hemiptera,Sternorrhyncha,Aphidae,na,adult
7/26/2023,303,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,304,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,304,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,304,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,304,Hemiptera,Sternorrhyncha,Psyllidae,na,adult
7/26/2023,304,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,304,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,304,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,304,Araneomorphae,na,Salticidae,na,adult
7/26/2023,304,Araneomorphae,na,Linyphiidae,na,adult
7/26/2023,304,Araneomorphae,na,Araneidae,na,adult
7/26/2023,304,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,304,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,304,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,304,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,304,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,304,Coleoptera,na,Coccinelidae,na,adult
7/26/2023,304,Coleoptera,na,Coccinelidae,na,adult
7/26/2023,304,Coleoptera,na,Lampyridae,na,adult
7/26/2023,304,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,304,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,304,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,304,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,403,Hemiptera,Heteroptera,Lygaeidae,na,adult
7/26/2023,403,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,403,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,403,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,403,Araneomorphae,na,Salticidae,na,adult
7/26/2023,403,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,403,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,403,Hemiptera,Auchenorrhynca,Cicadelidae,na,juvenile
7/26/2023,403,Hemiptera,Sternorrhyncha,Aphidae,na,adult
7/26/2023,403,Thysanoptera,na,na,na,adult
7/26/2023,403,Thysanoptera,na,na,na,adult
7/26/2023,403,Thysanoptera,na,na,na,adult
7/26/2023,403,Araneomorphae,na,Linyphiidae,na,adult
7/26/2023,403,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,403,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,403,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,403,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,403,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,403,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,403,Hemiptera,Heteroptera,Tingidae,na,juvenile
7/26/2023,403,Hemiptera,Heteroptera,Anthocoridae,na,juvenile
7/26/2023,403,Thysanoptera,na,na,na,adult
7/26/2023,403,Thysanoptera,na,na,na,adult
7/26/2023,403,Thysanoptera,na,na,na,adult
7/26/2023,403,Thysanoptera,na,na,na,adult
7/26/2023,403,Thysanoptera,na,na,na,adult
7/26/2023,403,Thysanoptera,na,na,na,adult
7/26/2023,403,Thysanoptera,na,na,na,adult
7/26/2023,403,Thysanoptera,na,na,na,adult
7/26/2023,403,Hemiptera,Sternorrhyncha,Cocomorpha,na,adult
7/26/2023,403,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,403,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,403,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,403,Hemiptera,Sternorrhyncha,Aphidae,na,adult
7/26/2023,403,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,403,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,403,Araneomorphae,na,Linyphiidae,na,adult
7/26/2023,403,Hemiptera,Heteroptera,Thyroecoridae,na,adult
7/26/2023,403,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,403,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,403,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,403,Neuroptera,na,Hemerobiidae,na,adult
7/26/2023,403,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,403,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,403,Araneomorphae,na,Salticidae,na,adult
7/26/2023,403,Thysanoptera,na,na,na,adult
7/26/2023,403,Thysanoptera,na,na,na,adult
7/26/2023,403,Thysanoptera,na,na,na,adult
7/26/2023,302,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,302,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,302,Hemiptera,Sternorrhyncha,Aphidae,na,adult
7/26/2023,302,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,302,Hemiptera,Auchenorrhynca,Cicadelidae,na,juvenile
7/26/2023,302,Thysanoptera,na,na,na,adult
7/26/2023,302,Thysanoptera,na,na,na,adult
7/26/2023,302,Thysanoptera,na,na,na,adult
7/26/2023,302,Thysanoptera,na,na,na,adult
7/26/2023,302,Thysanoptera,na,na,na,adult
7/26/2023,302,Thysanoptera,na,na,na,adult
7/26/2023,302,Thysanoptera,na,na,na,adult
7/26/2023,302,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,302,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,302,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,302,Hemiptera,Heteroptera,Anthocoridae,na,juvenile
7/26/2023,302,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,302,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,302,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,302,Hemiptera,Heteroptera,Anthocoridae,na,juvenile
7/26/2023,302,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,302,Hemiptera,Heteroptera,Anthocoridae,na,juvenile
7/26/2023,302,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,302,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,302,Hemiptera,Sternorrhyncha,Aphidae,na,adult
7/26/2023,302,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,302,Hemiptera,Heteroptera,Lygaeidae,na,adult
7/26/2023,302,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,302,Thysanoptera,na,na,na,adult
7/26/2023,302,Thysanoptera,na,na,na,adult
7/26/2023,302,Thysanoptera,na,na,na,adult
7/26/2023,302,Thysanoptera,na,na,na,adult
7/26/2023,302,Thysanoptera,na,na,na,adult
7/26/2023,302,Thysanoptera,na,na,na,adult
7/26/2023,302,Thysanoptera,na,na,na,adult
7/26/2023,302,Thysanoptera,na,na,na,adult
7/26/2023,302,Thysanoptera,na,na,na,adult
7/26/2023,302,Thysanoptera,na,na,na,adult
7/26/2023,302,Thysanoptera,na,na,na,adult
7/26/2023,302,Thysanoptera,na,na,na,adult
7/26/2023,302,Thysanoptera,na,na,na,adult
7/26/2023,302,Thysanoptera,na,na,na,adult
7/26/2023,302,Thysanoptera,na,na,na,adult
7/26/2023,302,Thysanoptera,na,na,na,adult
7/26/2023,302,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,302,Lepidoptera,na,na,na,juvenile
7/26/2023,302,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,302,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,302,Lepidoptera,na,na,na,juvenile
7/26/2023,302,Coleoptera,na,Lampyridae,na,adult
7/26/2023,302,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,401,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,401,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,401,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,401,Hemiptera,Auchenorrhynca,Cicadelidae,na,juvenile
7/26/2023,401,Thysanoptera,na,na,na,adult
7/26/2023,401,Thysanoptera,na,na,na,adult
7/26/2023,401,Thysanoptera,na,na,na,adult
7/26/2023,401,Thysanoptera,na,na,na,adult
7/26/2023,401,Thysanoptera,na,na,na,adult
7/26/2023,401,Thysanoptera,na,na,na,adult
7/26/2023,401,Thysanoptera,na,na,na,adult
7/26/2023,401,Thysanoptera,na,na,na,adult
7/26/2023,401,Hemiptera,Auchenorrhynca,Cicadelidae,na,juvenile
7/26/2023,401,Hemiptera,Auchenorrhynca,Cicadelidae,na,juvenile
7/26/2023,401,Thysanoptera,na,na,na,adult
7/26/2023,401,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,401,Thysanoptera,na,na,na,adult
7/26/2023,401,Thysanoptera,na,na,na,adult
7/26/2023,401,Thysanoptera,na,na,na,adult
7/26/2023,401,Thysanoptera,na,na,na,adult
7/26/2023,401,Thysanoptera,na,na,na,adult
7/26/2023,401,Thysanoptera,na,na,na,adult
7/26/2023,401,Thysanoptera,na,na,na,adult
7/26/2023,401,Thysanoptera,na,na,na,adult
7/26/2023,401,Thysanoptera,na,na,na,adult
7/26/2023,401,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,401,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,401,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,401,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,401,Hemiptera,Auchenorrhynca,Cicadelidae,na,juvenile
7/26/2023,401,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,401,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,401,Hemiptera,Sternorrhyncha,Aphidae,na,adult
7/26/2023,401,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,401,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,401,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,401,Hemiptera,Auchenorrhynca,Cicadelidae,na,juvenile
7/26/2023,401,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,401,Hemiptera,Heteroptera,Anthocoridae,na,juvenile
7/26/2023,401,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,401,Hemiptera,Heteroptera,Anthocoridae,na,juvenile
7/26/2023,401,Araneomorphae,na,Thomisidae,na,juvenile
7/26/2023,401,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,401,Hemiptera,Heteroptera,Anthocoridae,na,juvenile
7/26/2023,401,Hemiptera,Auchenorrhynca,Cicadelidae,na,juvenile
7/26/2023,401,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,401,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,401,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,401,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,401,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,401,Coleoptera,na,Chrysomedlidae,na,adult
7/26/2023,401,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,401,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,401,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,401,Orthoptera,Caelifera,na,na,juvenile
7/26/2023,401,Lepidoptera,na,na,na,juvenile
7/26/2023,401,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,401,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,401,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,401,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,401,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,401,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,401,Hemiptera,Sternorrhyncha,Cocomorpha,na,adult
7/26/2023,401,Hemiptera,Sternorrhyncha,Cocomorpha,na,adult
7/26/2023,202,Hemiptera,Sternorrhyncha,Cocomorpha,na,adult
7/26/2023,202,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,202,Thysanoptera,na,na,na,adult
7/26/2023,202,Thysanoptera,na,na,na,adult
7/26/2023,202,Thysanoptera,na,na,na,adult
7/26/2023,202,Hemiptera,Auchenorrhynca,Cicadelidae,na,adult
7/26/2023,202,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,202,Araneomorphae,na,Thomisidae,na,adult
7/26/2023,202,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,202,Hemiptera,Sternorrhyncha,Aphidae,na,adult
7/26/2023,202,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,202,Hemiptera,Heteroptera,Anthocoridae,na,adult
7/26/2023,202,Araneomorphae,na,Araneidae,na,adult
7/26/2023,202,Orthoptera,Caelifera,na,na,juvenile
7/26/2023,202,Coleoptera,na,Lampyridae,na,adult
7/26/2023,202,Coleoptera,na,Coccinelidae,na,adult
7/26/2023,202,Coleoptera,na,Coccinelidae,na,adult
7/26/2023,202,Coleoptera,na,Coccinelidae,na,adult
7/26/2023,202,Hemiptera,Heteroptera,Lygaeidae,na,adult
8/12/2022,401,Araneomorphae,na,Thomisidae,Misumenoides,juvenile
8/12/2022,502,Araneomorphae,na,Salticidae,Sassacus ,adult
8/12/2022,503,Araneomorphae,na,Tetragnathidae,Tetragnatha ,adult
8/12/2022,503,Araneomorphae,na,Salticidae ,Sassacus,juvenile
8/12/2022,402,Araneomorphae,na,Salticidae ,Sassacus,adult
8/12/2022,402,Araneomorphae,na,Linyphiidae,na,adult
8/12/2022,308,Araneomorphae,na,Thomisidae,Misumenoides,juvenile
8/12/2022,308,Araneomorphae,na,Thomisidae,Misumenoides,juvenile
8/12/2022,308,Araneomorphae,na,Salticidae ,Sassacus,adult
8/12/2022,301,Araneomorphae,na,Thomisidae,Misumenoides,juvenile
8/12/2022,303,Araneomorphae,na,Thomisidae,Misumenoides,juvenile
8/12/2022,501,Araneomorphae,na,Thomisidae,Misumenoides,juvenile
8/12/2022,304,Araneomorphae,na,Thomisidae,Misumenoides,juvenile
8/12/2022,304,Araneomorphae,na,Tetragnathidae,Tetragnatha ,adult
8/12/2022,304,Araneomorphae,na,Tetragnathidae,Tetragnatha ,adult
8/12/2022,304,Araneomorphae,na,Tetragnathidae,Pachygnatha,adult
8/12/2022,204,Araneomorphae,na,Linyphiidae,na,adult
8/12/2022,203,Araneomorphae,na,Salticidae ,na,adult
8/12/2022,203,Araneomorphae,na,Tetragnathidae,Tetragnatha ,adult
8/12/2022,203,Araneomorphae,na,Thomisidae,Misumenoides,juvenile
8/12/2022,202,Araneomorphae,na,Tetragnathidae,Tetragnatha ,adult
8/12/2022,202,Araneomorphae,na,Thomisidae,Misumenoides,juvenile
8/12/2022,403,Araneomorphae,na,Thomisidae,Misumenoides,juvenile
8/12/2022,403,Araneomorphae,na,Thomisidae,Misumenoides,juvenile
8/12/2022,404,Araneomorphae,na,Tetragnathidae,Tetragnatha ,adult
8/12/2022,201,Araneomorphae,na,Thomisidae,Misumenoides,juvenile
8/12/2022,201,Araneomorphae,na,Thomisidae,Misumenoides,juvenile
8/12/2022,103,Opiliones,na,na,na,adult
8/12/2022,104,Araneomorphae,na,Thomisidae,Misumenoides,juvenile
8/12/2022,104,Araneomorphae,na,Lycosidae ,Schizocosa ,adult
8/12/2022,504,Araneomorphae,na,Thomisidae,Misumenoides,juvenile
8/12/2022,504,Araneomorphae,na,Thomisidae,Misumenoides,juvenile
8/12/2022,504,Araneomorphae,na,Thomisidae,Misumenoides,juvenile
8/12/2022,504,Araneomorphae,na,Tetragnathidae,Tetragnatha ,juvenile
8/12/2022,102,Harvestman ,na,na,na,adult
8/12/2022,102,Araneomorphae,na,Thomisidae,Misumenoides,juvenile
8/12/2022,102,Araneomorphae,na,Tetragnathidae,Tetragnatha ,juvenile
8/12/2022,101,Araneomorphae,na,Tetragnathidae,Tetragnatha ,adult
8/12/2022,101,Araneomorphae,na,Thomisidae,Misumenoides,juvenile
8/12/2022,101,Araneomorphae,na,Thomisidae,Misumenoides,juvenile
8/12/2022,101,Araneomorphae,na,Thomisidae,Misumenoides,juvenile
8/12/2022,101,Araneomorphae,na,Thomisidae,Misumenoides,juvenile
7/1/2022,104,Araneomorphae,na,Liniphiidae,na,adult
7/1/2022,304,Araneomorphae,na,na,na,juvenile
7/1/2022,504,Araneomorphae,na,na,na,juvenile
